numero,R_llegada,tiempo_entre_llegadas,hora_llegada,R_proc,tiempo_proc,hora_salida,tiempo_espera,tiempo_en_sistema
1,,0.0,0.0,0.3529,1.41761,1.41761,0.0,1.41761
2,0.0589,5.663828376649192,5.663828376649192,0.3646,1.42814,7.091968376649192,0.0,1.42814
3,0.6733,0.7911285668618037,6.454956943510996,0.7676,1.7908400000000002,8.882808376649193,0.6370114331381966,2.427851433138197
4,0.4799,1.4683550602358744,7.9233120037468705,0.8931,1.90379,10.786598376649193,0.959496372902322,2.863286372902323
5,0.9486,0.10553613107731144,8.028848134824182,0.3919,1.4527100000000002,12.239308376649193,2.7577502418250113,4.210460241825011
6,0.6139,0.9758464610973728,9.004694595921555,0.7876,1.80884,14.048148376649193,3.2346137807276385,5.0434537807276385
7,0.5933,1.0441102114350789,10.048804807356634,0.5199,1.5679100000000001,15.616058376649192,3.9993435692925594,5.567253569292559
8,0.9341,0.13634356020666796,10.185148367563302,0.6358,1.6722200000000003,17.288278376649192,5.43091000908589,7.1031300090858895
9,0.1782,3.4496975278908564,13.63484589545416,0.7472,1.77248,19.060758376649193,3.6534324811950327,5.425912481195034
10,0.3473,2.1151326384642175,15.749978533918377,0.8954,1.90586,20.966618376649194,3.310779842730817,5.216639842730817
11,0.5644,1.143984118006956,16.89396265192533,0.3529,1.41761,22.384228376649194,4.072655724723862,5.490265724723862
12,0.0589,5.663828376649192,22.557791028574524,0.3646,1.42814,23.985931028574523,0.0,1.428139999999999
13,0.6733,0.7911285668618037,23.348919595436328,0.7676,1.7908400000000002,25.776771028574522,0.6370114331381949,2.427851433138194
14,0.4799,1.4683550602358744,24.817274655672204,0.8931,1.90379,27.680561028574523,0.9594963729023185,2.8632863729023192
15,0.9486,0.10553613107731144,24.922810786749515,0.3919,1.4527100000000002,29.133271028574523,2.7577502418250077,4.210460241825007
16,0.6139,0.9758464610973728,25.898657247846888,0.7876,1.80884,30.942111028574523,3.234613780727635,5.043453780727635
17,0.5933,1.0441102114350789,26.942767459281967,0.5199,1.5679100000000001,32.51002102857452,3.999343569292556,5.5672535692925535
18,0.9341,0.13634356020666796,27.079111019488636,0.6358,1.6722200000000003,34.18224102857452,5.430910009085885,7.103130009085888
19,0.1782,3.4496975278908564,30.52880854737949,0.7472,1.77248,35.954721028574525,3.6534324811950327,5.425912481195034
20,0.3473,2.1151326384642175,32.64394118584371,0.8954,1.90586,37.86058102857452,3.310779842730817,5.216639842730814
21,0.5644,1.143984118006956,33.78792530385066,0.3529,1.41761,39.278191028574525,4.072655724723859,5.490265724723862
22,0.0589,5.663828376649192,39.451753680499856,0.3646,1.42814,40.879893680499855,0.0,1.428139999999999
23,0.6733,0.7911285668618037,40.242882247361656,0.7676,1.7908400000000002,42.67073368049986,0.6370114331381984,2.4278514331382013
24,0.4799,1.4683550602358744,41.71123730759753,0.8931,1.90379,44.57452368049986,0.9594963729023291,2.86328637290233
25,0.9486,0.10553613107731144,41.816773438674836,0.3919,1.4527100000000002,46.02723368049986,2.757750241825022,4.210460241825025
26,0.6139,0.9758464610973728,42.79261989977221,0.7876,1.80884,47.836073680499865,3.234613780727649,5.043453780727653
27,0.5933,1.0441102114350789,43.83673011120729,0.5199,1.5679100000000001,49.40398368049986,3.999343569292577,5.567253569292575
28,0.9341,0.13634356020666796,43.97307367141396,0.6358,1.6722200000000003,51.076203680499866,5.430910009085906,7.103130009085909
29,0.1782,3.4496975278908564,47.42277119930481,0.7472,1.77248,52.84868368049987,3.653432481195054,5.425912481195056
30,0.3473,2.1151326384642175,49.53790383776903,0.8954,1.90586,54.754543680499864,3.310779842730838,5.216639842730835
31,0.5644,1.143984118006956,50.681887955775984,0.3529,1.41761,56.17215368049987,4.07265572472388,5.4902657247238835
32,0.0589,5.663828376649192,56.34571633242518,0.3646,1.42814,57.773856332425176,0.0,1.428139999999999
33,0.6733,0.7911285668618037,57.13684489928698,0.7676,1.7908400000000002,59.56469633242518,0.6370114331381984,2.4278514331382013
34,0.4799,1.4683550602358744,58.60519995952285,0.8931,1.90379,61.46848633242518,0.9594963729023291,2.86328637290233
35,0.9486,0.10553613107731144,58.71073609060016,0.3919,1.4527100000000002,62.92119633242518,2.757750241825022,4.210460241825025
36,0.6139,0.9758464610973728,59.68658255169753,0.7876,1.80884,64.73003633242519,3.234613780727649,5.043453780727653
37,0.5933,1.0441102114350789,60.73069276313261,0.5199,1.5679100000000001,66.29794633242518,3.999343569292577,5.567253569292575
38,0.9341,0.13634356020666796,60.86703632333928,0.6358,1.6722200000000003,67.97016633242518,5.430910009085906,7.103130009085902
39,0.1782,3.4496975278908564,64.31673385123014,0.7472,1.77248,69.74264633242518,3.65343248119504,5.425912481195041
40,0.3473,2.1151326384642175,66.43186648969436,0.8954,1.90586,71.64850633242519,3.310779842730824,5.216639842730828
41,0.5644,1.143984118006956,67.57585060770131,0.3529,1.41761,73.06611633242518,4.072655724723873,5.490265724723869
42,0.0589,5.663828376649192,73.2396789843505,0.3646,1.42814,74.6678189843505,0.0,1.428139999999999
43,0.6733,0.7911285668618037,74.0308075512123,0.7676,1.7908400000000002,76.4586589843505,0.6370114331381984,2.4278514331382013
44,0.4799,1.4683550602358744,75.49916261144818,0.8931,1.90379,78.36244898435051,0.959496372902322,2.863286372902323
45,0.9486,0.10553613107731144,75.6046987425255,0.3919,1.4527100000000002,79.8151589843505,2.7577502418250077,4.210460241825004
46,0.6139,0.9758464610973728,76.58054520362288,0.7876,1.80884,81.62399898435051,3.234613780727628,5.043453780727631
